team,away_team,team1_id,team2_id
Auburn,Alabama St,1120,1106
Louisville,Creighton,1257,1166
Michigan,UC San Diego,1276,1471
Texas A&M,Yale,1401,1463
Mississippi,North Carolina,1279,1314
Iowa St,Lipscomb,1235,1252
Marquette,New Mexico,1266,1307
Michigan St,Bryant,1277,1136
Florida,Norfolk St,1196,1313
Connecticut,Oklahoma,1163,1328
Memphis,Colorado St,1272,1161
Maryland,Grand Canyon,1268,1213
Missouri,Drake,1281,1179
Texas Tech,UNC Wilmington,1403,1423
Kansas,Arkansas,1242,1116
St John's,NE Omaha,1385,1303
Duke,American University,1181,1110
Mississippi St,Baylor,1280,1124
Oregon,Liberty,1332,1251
Arizona,Akron,1112,1103
BYU,VCU,1140,1433
Wisconsin,Montana,1458,1285
Saint Mary's,Vanderbilt,1388,1435
Alabama,Robert Morris,1104,1352
Houston,SIUE,1222,1188
Gonzaga,Georgia,1211,1208
Clemson,McNeese St,1155,1270
Purdue,High Point,1345,1219
Illinois,Texas,1228,1400
Kentucky,Troy,1246,1407
UCLA,Utah St,1417,1429
Tennessee,Wofford,1397,1459
